Title,ISBNs
That Deadman Dance,9781608197057; 1608197050;
Halo,0312656262 (hbk.); 9780312656263 (hbk.); 1429945052 (eBook); 9781429945059 (eBook);
Wildflower Hill,9780733623752;
Bereft,9781921640605 (pbk.);
Beautiful Malice,9781742373003 (pbk.);
The Distant Hours,9781742371832 (hbk.);
Behemoth,9780670073047 (hbk.);
When Colts Ran,9781864710410 (pbk.);
Rocks in the Belly,9781921640674;
Indelible Ink,9781921215964 (pbk.);
Campaign Ruby,9781921656576 (pbk.);
Bleed for Me,1847442196 (pbk.); 9780748114016 (ebook); 9781847442192 (pbk.); 1847442188 (hbk.); 0748114017 (ebook); 9781847442185 (hbk.);
Lights Out in Wonderland,9780571228904 (hbk.); 9780571228898 (pbk.);
The Legacy,9780732290801 (pbk.);
The Piper's Son,9780670074235 (pbk.);
Graffiti Moon,9780330425780 (pbk.);
Wyatt,9781921656026 (pbk.);
The Body in the Clouds,9781742372426;
Manhattan Dreaming,9781741668926 (pbk.);
Gunshot Road,9781921656309 (pbk.);
At Home with the Templetons,9781921518225 (pbk.);
That Deadman Dance,9780330404235 (pbk);
That Deadman Dance,9781742611501 (pbk);
That Deadman Dance,9781405040440 (pbk); 9781405040433 (hbk);
Halo,8842917036; 9788842917038;
Halo,0732289890 (pbk.); 9780732289898 (pbk.);
Halo,8362478063; 9788362478064;
Halo,0606237682; 9780606237680;
Halo,8756799055; 9788756799058;
Halo,9636354138; 9789636354138;
Halo,9780732298494;
Halo,9785699710829;
Halo,6054456237; 9786054456239;
Halo,3499216000; 9783499216008; 3644471614 (eBook); 9783644471610 (eBook);
Halo,8499181732; 9788499181738;
Halo,9022558339; 9789022558331;
Halo,9788055124452;
Halo,1907410759; 9781907410758;
Halo,9789896572419;
Halo,0312674368 (pbk.); 9780312674366 (pbk.);
Halo,2266212710; 9782266212717;
Halo,885023094X; 9788850230945;
Halo,8740005445; 9788740005448;
Halo,7540448733; 9787540448738;
Halo,9862294809; 9789862294802 (pbk.);
Halo,802423047X; 9788024230474;
Halo,9786029346169;
Cold Justice,9781405039277 (pbk.);
Solace and Grief,9781876462895 (pbk.);
About a Girl,9781742371443 (pbk.);
Glissando : A Melodrama,9781740669337;
Mice,9781742372358;
Martin Westley Takes a Walk,9781741669619 (pbk.);
Girl Saves Boy,9781921656590 (pbk.);
House of Sticks,9781921844270 (pbk.);
After America,9781405039413 (pbk.);
"Big River, Little Fish",9780702238505 (pbk.);
Fall Girl,9781921656651 (pbk.);
Let the Dead Lie,9781405039208 (pbk.);
Noah's Law,9780330426183 (pbk.);
Traitor,9781921656491 (pbk.);
Black Glass,9781921640933 (pbk.);
I Came To Say Goodbye,9781742741307 (ebook); 9781863256810 (pbk.);
The Grand Hotel : A Novel,9781741669732 (pbk.);
Good Oil,9781741759976 (pbk.);
Below the Styx,9781741757804;
The Mary Smokes Boys,9780980571790;
Blossoms and Shadows,9780733627606 (hbk.); 9780733627453 (hbk.); 9780733626500 (pbk.);
Six Impossible Things,9780330426060 (pbk.);
Claiming His Bought Bride,9780733599071;
Roddy Parr,9780732290276 (pbk.);
Houdini's Flight : Sometimes You Need to Disappear to Find Yourself,9780732280659 (pbk.);
How It Feels,9781405039291 (pbk.);
Sustenance,9781742580715;
Merrow,9781742031361 (pbk.);
The Philanthropist,9781740669979;
Men of Bad Character,9780702237737;
The  Reckless Bride,9780732290559 (pbk.);
Every Girl's Secret Fantasy,9780263214161 (pbk.);
Notorious,9781742372396 (pbk.);
Five Parts Dead,9781921656286 (pbk.);
90 Packets of Instant Noodles,9781921361999 (pbk.);
Nineteen Seventysomething,9780980637854;
Scout,9780143204589 (pbk.);
Fields of Gold,9781921518065 (pbk.);
Comrades,9781863256407 (pbk.); 97817427409 (ebook);
The Blood Countess,9781405040143 (pbk.);
In Lonnie's Shadow,9781876462918 (pbk.);
When Courage Came to Call,9781741664447 (pbk.);
Im Tal Der Flammenden Sonne,9783404159567; 340415956X;
Marrying Ameera,9780732291440 (pbk.);
The Old School,9780670074518 (pbk.);
Trust,9780670073979 (pbk.);
Fortune Cookie,9780670074082;
Prohibited Zone,9781862549432;
Anonymity Jones,9781741664539 (pbk.);
Kindling,9780733625022 (pbk.);
Genesis,9781921529399 (pbk.);
Child of the Twilight,9780732284541 (pbk.);
Little Paradise,9780143011477 (pbk.);
Torn Apart,9781742371399 (pbk.);
One Perfect Pirouette,9780702238413;
Madigan Mine,9780330425711 (pbk.);
Naked Cruelty,9780732292294 (pbk.);
Zendegi,9780575086173;
The Emerald Casket,9781921656453 (pbk.);
Six,9781742031552 (pbk.);
Days Like This,9780143206545 (pbk.);
Stillwater Creek,9781741669312 (pbk.);
The Book of Love,9780733624391 (pbk.);
The Plantation,9781405039987 (pbk.);
Making News,9781741969238 (pbk.);
Leaving Suzie Pye,9780732290047 (pbk.);
Darkwater,9781864719833 (pbk.); 9781742740027 (ebk.);
A Darker Music,9781921640650 (pbk.);
Ethan Grout,9781741968989 (pbk.);
The Norseman's Song,9780980740523 (pbk.);
Book of Lost Threads,9781742372334;
India Dark,9781741758580 (pbk.);
Fury,9781742031323 (pbk.);
A Waltz for Matilda,9780732290214 (pbk.);
Pilgrims,9780732289478 (pbk.);
The Brazen Bride,9780732290542 (pbk.);
Death Mask,9781405039956;
Sugar Sugar,9781742031200 (pbk.);
F2M,9781876462901 (pbk.);
Red Dirt Talking,9781921888793 (pbk.); 9781921888915 (ebk.);
RPM,
Preincarnate,9781740669818 (hbk.);
A Few Right Thinking Men,9780980741810 (hbk.); 9781921997778;
The Blackmailed Bride's Secret Child,9780733599569;
The Second-Last Woman in England,9781741964820 (pbk.);
His Prisoner in Paradise,9781742550435 (pbk.);
Daywards,9780702236556 (pbk.); 9780702237911 (pdf);
Where Have You Been?,9781921401466 (pbk.);
Mercy,9780732291990 (pbk.);
Revealed : A Prince and a Pregnancy,0373129130; 9780373129133;
Wildflower Hill,9782298106442; 2298106444;
Wildflower Hill,9782368120330; 2368120335;
Wildflower Hill,9789603645092;
Wildflower Hill,9783426511398;
Wildflower Hill,9788074660740;
Wildflower Hill,9781780877082;
Wildflower Hill,9789032513283; 9032513281 (paperback); 9789032513290 (ebook); 903251329X (ebook);
Wildflower Hill,9788863931303;
Wildflower Hill,9781451623499; 1451623496;
Wildflower Hill,9788310121028;
Wildflower Hill,9782894559277; 2894559275;
Wildflower Hill,9789759997168;
Wildflower Hill,9788202360610;
Wildflower Hill,9789632932507;
Bereft,9783421045720;
Bereft,9789532665468;
Bereft,9782226241467;
Beautiful Malice,9788806203597 (pbk.);
Beautiful Malice,9786084577935;
Beautiful Malice,9781742376820;
Beautiful Malice,9780571255238; 057125523X;
Beautiful Malice,9786041003095;
Beautiful Malice,9783499255076; 3499255073;
Beautiful Malice,9789862293898;
Beautiful Malice,9789955387220;
The Distant Hours,9022557367 (pbk.); 9789022557365 (pbk.);
The Distant Hours,9780330477581 (pbk.);
The Distant Hours,9786054482184;
The Distant Hours,9782258081871;
The Distant Hours,9789175030197; 9175030195;
The Distant Hours,9787544278003;
The Distant Hours,9789137135779;
The Distant Hours,0230744761 (pbk.); 9780230744769 (pbk.); 9780230748323 (hbk.); 0230748325 (hbk.);
The Distant Hours,9788820050443;
The Distant Hours,9781760292959;
The Distant Hours,9781439152782 (alk. paper);
The Distant Hours,9789022557365;
The Distant Hours,3453290941;
Behemoth,9787302316077;
Behemoth,B00DQCFJIM;
Behemoth,9784153350045;
Behemoth,9788024231693;
Behemoth,2266194178; 9782266194174;
Behemoth,9789896681340;
Behemoth,9789944827805;
Behemoth,9786155229275;
Behemoth,9788375105902;
Behemoth,9783453529632; 3453529634;
Behemoth,9789542908951;
When Colts Ran,9781864710441;
Indelible Ink,9781922070623 (paperback);
Bleed for Me,9780733637650;
Bleed for Me,8866880043; 9788866880042;
Bleed for Me,9780751552300;
Bleed for Me,9782253173663; 2253173665;
Bleed for Me,9782709636292;
Bleed for Me,9780316126380; 0316126381;
Bleed for Me,9023457374; 9789023457374;
Bleed for Me,9783442312498;
Lights Out in Wonderland,9780393081237 (hbk.); 0393081230 (hbk.);
Lights Out in Wonderland,9783821861524 (hbk.); 3821861525 (hbk.);
The Legacy,9788466646260; 8466646264;
The Legacy,9781439177211; 143917718X; 143917721X (ebook); 9781439177181;
The Legacy,9780857380623 (pbk.); 0857380621 (pbk.);
The Piper's Son,9780763647582;
The Piper's Son,9780143203421;
The Piper's Son,9789612720551;
The Piper's Son,9780763660628;
Graffiti Moon,9782226242754; 2226242759;
Graffiti Moon,9788427200951; 8427200951;
Graffiti Moon,9788482649054; 8482649051;
Graffiti Moon,9789048811663; 904881166X; 9789048811670; 9048811678;
Graffiti Moon,9781444907872; 1444907875;
Graffiti Moon,9783551582799; 3551582793;
Graffiti Moon,9788804608349; 880460834X;
Graffiti Moon,9780375871955; 0375871950;
The Body in the Clouds,9781501165115;
Gunshot Road,9783518462133 3; 51846213X;
Gunshot Road,9781569476369;
At Home with the Templetons,9783442475506 (pbk.); 3442475503 (pbk.);
At Home with the Templetons,9780330447836; 0330447831;
At Home with the Templetons,9780345518651;
At Home with the Templetons,9780230713918 (pbk.);
At Home with the Templetons,9780143205579;
About a Girl,9783551582713; 3551582718;
After America,9780345502919;
Let the Dead Lie,9781416586227 (pbk.);
Let the Dead Lie,9789023457138;
Let the Dead Lie,9781925143706; 9781925143690;
Let the Dead Lie,9780330519779 (hbk.); 0330519778 (hbk.);
Let the Dead Lie,9780330461016 (pbk); 033046101X (pbk);
Let the Dead Lie,9781416586227; 1416586229;
Traitor,9781921758379;
I Came To Say Goodbye,9789661442732 (Ukraina); 9785991022118 (Rossii͡a); 9781863256810 (angl.);
Good Oil,9783401506135; 3401506137;
Good Oil,9781760112424;
Good Oil,9780375870002; 9780375970009; 9780375986741; 9780307929747;
Blossoms and Shadows,9788466326308 (pbk.);
Blossoms and Shadows,9789543981298; 9543981299;
Claiming His Bought Bride,
Claiming His Bought Bride,9788323884408 (pbk.);
Claiming His Bought Bride,
Claiming His Bought Bride,9780373730056 (pbk.); 0373730055 (pbk.);
Blue Skies,9781741759365 (pbk.);
Finding Freia Lockhart,9781921529153 (pbk.);
I Say Tomato,9781921640407 (pbk.);
Happily Ever After?,9780980721225 (pbk.);
Colonel Surry's Insanity,
My Sister Chaos,9781742195025 (ebook : DX reader); 9781742194998 (ebook : pdf); 9781742195032 (ebook : epub); 9781876756840 (pbk.); 9781742195018 (ebook : Microsoft reader);
Dare You,9781742031491 (pbk.);
A Girl Like Me,9780143011484;
I Love You Zelda Bloo,9780143011606 (pbk.);
Mutation,9781921502415;
Contact,9781921502408 (pbk.);
Guardian of the Dead,9781741758801 (pbk.);
The Fable of All Our Lives,9780732289928 (pbk.);
The Elusive Bride,9780732290535 (pbk.);
Red-Hot Renegade,9781742550558;
Dead Double,1419921878; 9781419921872;
Shall We Dance?,9781921518133;
Wildhorse Creek,9781921518157 (pbk.);
Sharp Turn,9781742370033 (pbk.);
The Black Russian : A Jack Susko Mystery,9781921640261 (pbk.);
The Universe Parallel,9780730493952 (ebk.); 9780732281243 (pbk.);
The Taste of Apple,9781921479816 (pbk.);
Happy as Larry,9781741754810 (pbk.);
Wavelength,9781921696305;
Equator : A Novel,9781921361890 (pbk.);
Spinner : A Novel,9781921361937;
Burnt Snow : The Book of the Witch,9780330425728 (pbk.);
Kiss Across Swords,141993189X; 9781419931895;
The Fortunes of Ruby White,9780731814848 (eBook); 9780731814633 (pbk.);
The Half-Child,9781921656545 (pbk.);
Beautiful Monster,9781921361982 (pbk.);
The Old Republic : Fatal Alliance,9780345511331; 0345511336;
Holy Water,9781742582665 (pbk.);
Forbidden : The Sheikh's Virgin,9780263213409;
Thrill City,9781741147377 (pbk.);
The Troika Dolls,9781741759150 (pbk.);
Kiss Across Time,9781419924712;
Deadly Trust,9781863256636;
Wolfborn,9781864718256 (pbk.); 9781742741727 (ebk.);
Matter of Trust,9781405039598 (pbk.);
The Circus,9781862546899;
The Prisoner of Mount Warning,9781921059568;
Line of Sight,9780670073740 (pbk.);
Dead Man's Chest : A Phryne Fisher Mystery,9781742373386 (pbk); 1742373380 (pbk);
The Innocents,9781864718744 (pbk.); 9781742740843 (ebk.);
Return of the Prophet,9781405039826 (pbk.);
Killing Richard Dawson,9780980741803 (pbk.);
Border Watch,9780733624902 (pbk.);
Ondine : The Summer of Shambles,9781405253420;
Mosquito Creek,9780670073719 (pbk.);
Once on a Road,9781741669077 (pbk.);
The Art of Murder,9780099551447; 0099551446;
Blue Knight,9781419930515;
Dead Again,9781419921483;
Bittersweet,9780143205685 (pbk.);
Dancing in the Dark,9780143202363 (pbk.);
The Noon Lady of Towitta,9781862549418 (pbk.);
Avalanche Pass,9781863256377 (pbk.);
High Noon in Nimbin,9780732287573;
Beauty's Beasts,9781419928758;
Milk Fever,9781741967814 (pbk.);
Palimpsest,9781921509681 (pbk);
Wild Nights with her Wicked Boss,0263215547 (hbk); 0263877523 (pbk);
Bright Angel,9781864719635 (pbk.);
Destiny's Right Hand,9780143304210 (pbk.);
The Billionaire's Housekeeper Mistress,9780263213188 (hbk.); 0263877841 (pbk.); 9780263877847 (pbk.);
Take Out,9781921361838 (pbk.);
Overtime In The Boss's Bed,9780263877373;
A Baby for the Flying Doctor,9780263214932;
"What Now, Tilda B?",9780702237782 (pbk.);
Midwife in a Million,9780263876710;
Power and Majesty,9780732289430 (pbk.);
Beyond Evie,9780732291525;
Last Kolovsky Playboy,9781742550428 (pbk.);
Remember June,9780732286828 (pbk.);
In the Mood,9780670073917 (pbk.);
Secret Ones,9780732291617 (pbk.);
The FitzOsbornes in Exile,9781742740805 (ebk.); 9781741663747 (pbk.);
Flesh and Iron,9781844168156; 1844168158;
Walking the Tree,9780007322442 (pbk.);
I Know Precious Little,9781921829703;
The Genesis Flaw,9781741967883 (pbk.);
The Life of a Teenage Body-Snatcher,9780143203919 (pbk.);
The Book of Human Skin,9781408805886;
The Devil's Tears,9781405040068 (pbk.);
Undercover : A Novel of a Life,9781741669503 (pbk.);
Match Fixer,9789814276290 (pbk.);
Hit List,9780330425841 (pbk.);
Spinning Out,9780733624964 (pbk.);
Love Machine,9781926428024 (pbk.);
Come Back to Me,9781741668698;
"Fired Waitress, Hired Mistress",9781742554051 (pbk);
The Three Loves of Persimmon,9780143205012 (pbk.); 9780143305194 (pbk.);
Boys of Summer,9781921556050;
The English Class,9780980571783;
"Lights, Camera ... Kiss the Boss",9780373176427; 0373176422;
The Bark Cutters,9781741669428;
Headgames,9781741663532 (pbk.);
The Wedding Shroud : A Tale of Early Rome,9781741967906 (pbk.);
Playing the Field,9781921518010 (pbk.);
The Blue-Eyed Aborigine,1847800785 (pbk.); 9781847800787 (pbk.);
Slice : Juicy Moments from My Impossible Life,9781864719642 (pbk.);
Embrace,9780734411846 (pbk.);
The Delta,9781405039888 (pbk.);
Earth to Hell,9780732286866 (pbk.);
Animal Kingdom,9780522858082 (pbk.);
Paladin,9781862918672 (pbk.);
"Tom Hurstbourne, or, A Squatter's Life",9781921555404; 9781921555435;
The Dressmaker,9780731814725 (pbk.);
Inheritance,9781846553158 (hbk.); 9781846553165 (pbk.);
Seer of Sevenwaters,9781405040198 (pbk.);
Quillblade,9781864719789 (pbk.); 9781742741123 (ebk.);
Keeping Faith,9780980571752;
Bargaining for Baby,9780373730285 (pbk.);
The Soldier's Untamed Heart,9780263215427; 0263215423;
Hot Island Nights,9780373795703; 037379570X;
Her Best Friend,9780373716265;
"Wedlocked : Banished Sheikh, Untouched Queen",0263877787; 9780263877786;
Dating the Millionaire Doctor,9781742551852;
Chasers,9780733624797 (pbk.);
Death Most Definite : A Death Works Novel,9780733624834 (pbk.);
The Good Daughter,9780670074433;
Come Inside,9780980712025 (pbk.);
Speak to Me,9780670074594 (pbk.);
Somebody to Love,9780702238574 (pbk.); 9780702238260 (pdf);
"Errol, Fidel and the Cuban Rebel Girls",9780702238253 (pdf); 9780702238567 (pbk.);
Wizard Squared,9780732286064 (pbk.);
Path of the Stray,9780732291396 (pbk.);
The Ruby Talisman,9781864719871;
In-Human,9780980571738 (pbk.);
Christmas with Her Boss,9780263888409 (pbk.); 9780263215373 (hbk.);
Innocent Secretary...Accidentally Pregnant,9780263212075; 0263212076;
"Public Marriage, Private Secrets",0373129459; 9780373129454;
The Cattleman's Adopted Family,9780263213102 (hbk.); 0263213102 (hbk.);
"Sunflower : A Tale of Love, War and Intrigue",9780522857627 (pbk.);
"Shock, One-Night Heir",9780263878660 (pbk.); 0263215482 (hbk.); 026387866X (pbk.); 9780263215489 (hbk.);
"The Cattleman, the Baby and Me",9781742551173 (pbk.);
Their Newborn Gift,9781742551241;
One Small Miracle,9781742551098 (pbk.);
Nowhere Man : If Only She Knew What He Knew...,9780980741834 (pbk.);
Ghost Watch,9781405040259 (pbk.);
"Leuchtende Sonne, weites Land",9783838703589; 3838703588;
Merrow,9781742031361 (pbk.) :;
The  Reckless Bride,9780349400051; 0349400059;
The  Reckless Bride,9783442382392; 3442382394;
The  Reckless Bride,9780062018663; 0062018663;
The  Reckless Bride,9780061795190; 0061795194;
Every Girl's Secret Fantasy,9780373527915; 0373527918;
Every Girl's Secret Fantasy,9781742556307 (pbk.);
Every Girl's Secret Fantasy,
Fields of Gold,9783764504113; 3764504110;
Im Tal Der Flammenden Sonne,9788075431097;
Im Tal Der Flammenden Sonne,9788377587645; 8377587645;
Im Tal Der Flammenden Sonne,9783838737379;
Trust,9780143205494 (pbk.);
Trust,9780452296350;
Kindling,9789861855622;
Genesis,9781925126006;
Madigan Mine,9783492273978; 3492273971;
Madigan Mine,9781922101198;
Naked Cruelty,9780007412594;
Naked Cruelty,1552789454 (pbk.); 9781552789452 (pbk.);
Naked Cruelty,9781439178317 (trade); 1439178313 (trade);
Zendegi,9780575086203;
Zendegi,9781597801751;
The Emerald Casket,9783841502094; 3841502091;
Six,9781925126051; 9781742590486; 9781742590509;
The Book of Love,9783442375820 (pbk.);
The Hum of Concrete,9780987226501 (pbk.);
Fury,9781925126099; 9781742590417; 9781742590394;
Pilgrims,9780765331885;
Pilgrims,9780857381392; 0857381393;
The Brazen Bride,9780349400044; 0349400040;
The Brazen Bride,9780061795176; 9780732290542;
The Brazen Bride,9780062000088; 006200008X;
The Brazen Bride,9783442378500; 3442378508;
Death Mask,9783442379712; 3442379717;
Sugar Sugar,9781922244574 (ebook : pdf); 9781742590356 (ebook : epub); 9781742590332 (ebook : prc);
Red Dirt Talking,9781459642423;
RPM,070223897X (pbk); 9780702238970 (pbk);
The Blackmailed Bride's Secret Child,
The Blackmailed Bride's Secret Child,9771105824273;
The Blackmailed Bride's Secret Child,9780373730117 (pbk.); 037373011X (pbk.);
His Prisoner in Paradise,9771105822309;
His Prisoner in Paradise,
Revealed : A Prince and a Pregnancy,9789461703316;
Revealed : A Prince and a Pregnancy,
Revealed : A Prince and a Pregnancy,9780733598050;
The Elusive Bride,9780062271310; 0062271318;
The Elusive Bride,0349400032 (pbk.);
The Elusive Bride,9783442377671; 3442377676;
The Elusive Bride,9780061795152 (pbk.); 0061795151 (pbk.);
Red-Hot Renegade,9780263213973;
Red-Hot Renegade,9780373528073;
Dead Double,9781927423325; 1927423325;
Dead Double,1927423309; 9781927423301;
Wildhorse Creek,9780143573081;
Sharp Turn,9781922101327; 9781922101310;
The Universe Parallel,9780732281250 (pbk.);
Kiss Across Swords,1927423910; 978-1927423912;
The Old Republic : Fatal Alliance,8863551251 (paperback); 9788863551259 (paperback);
Forbidden : The Sheikh's Virgin,
Forbidden : The Sheikh's Virgin,
The Troika Dolls,9781742377087;
Kiss Across Time,1927423864; 9781927423868;
Kiss Across Time,9781927423837;
Dead Man's Chest : A Phryne Fisher Mystery,1590587979; 9781590587973;
Return of the Prophet,9780330534178; 0330534173;
Return of the Prophet,9780312599805; 0312599803;
Return of the Prophet,9780330403917 (pbk.);
Border Watch,9780733627125 (pbk.);
Underground Road,9781743051924;
The Art of Murder,9781863256902; 1863256903;
Blue Knight,9781927423523; 192742352X;
Blue Knight,1927423511; 978-1927423516;
Dead Again,9781927901762; 1927901766;
Dead Again,1927423201; 9781927423202;
Avalanche Pass,9780425245408;
Beauty's Beasts,1927901359; 9781927901359;
Wild Nights with her Wicked Boss,9781742559797;
The Billionaire's Housekeeper Mistress,9784596125798;
The Billionaire's Housekeeper Mistress,9781742550084 (pbk.);
Overtime In The Boss's Bed,9781742554082;
Overtime In The Boss's Bed,9780373527717;
A Baby for the Flying Doctor,9781460377222; 1460377222;
A Baby for the Flying Doctor,9781742551548;
"Cinderella, Hired by the Prince",9780373176762; 0373176767;
"Cinderella, Hired by the Prince",9781742551319 (pbk.);
"Cinderella, Hired by the Prince",0263213838; 9780263213836;
"Cinderella, Hired by the Prince",9784596221704;
The Sheik's Destiny,0263213846; 9780263213843;
The Sheik's Destiny,0373176783 (pbk.); 9780373176786 (pbk.);
Last Kolovsky Playboy,9780373129669; 0373129661;
Last Kolovsky Playboy,9780263878264; 0263878260;
Knight on the Children's Ward,9781742551630;
Knight on the Children's Ward,9781426856914;
In the Mood,9781925399134;
Flesh and Iron,9783453529045; 3453529049;
Walking the Tree,9780061994173;
"Fired Waitress, Hired Mistress",9780373527830; 0373527837;
"Fired Waitress, Hired Mistress",
"Fired Waitress, Hired Mistress",9780263877342; 0263877345;
"Lights, Camera ... Kiss the Boss",9780733599316;
"Lights, Camera ... Kiss the Boss",9780373176427; 0373176422;
Christmas at Candlebark Farm,9781742551289 (pbk.);
Christmas at Candlebark Farm,9780373177028; 037317702X;
Christmas at Candlebark Farm,9780263215588 (hbk.); 026321558X (hbk.);
The Bark Cutters,9781864711622 (pbk.);
The Wedding Shroud : A Tale of Early Rome,1477828559; 9781477828557;
Embrace,9783570380116; 3570380114;
The Delta,9780330404037;
The Delta,9780857381125; 0857381121;
Bargaining for Baby,9780263883121; 0263883124;
Bargaining for Baby,9781742553757;
The Soldier's Untamed Heart,9780373740758 (lge. prt.); 9780373177066;
The Soldier's Untamed Heart,9780373177066;
